,X1,X2,labels,Name,Position,PPG,APG,RPG,,,,,,,,,
258,-0.369313409,-0.04243476,Versatile Forwards,Brandon Ingram,F,18.3,3,5.2,,,,,,,,,
265,-0.415669593,-0.255088765,Versatile Forwards,Josh Jackson,F,11.5,2.3,4.4,,,,,,,,,
276,-0.350739471,0.31259754,Versatile Forwards,James Johnson,F,7.8,2.5,3.2,,,,,,,,,
292,0.62703828,0.065417814,Versatile Forwards,Frank Kaminsky,FC,8.6,1.3,3.5,,,,,,,,,
302,0.086097244,-0.171251131,Versatile Forwards,Luke Kornet,FC,7,1.2,2.9,,,,,,,,,
303,0.179015992,0.055293048,Versatile Forwards,Kyle Korver,GF,6.8,1.1,1.8,,,,,,,,,
313,1.222289751,0.096203849,Versatile Forwards,TJ Leaf,F,3.9,0.4,2.2,,,,,,,,,
314,-0.30748611,0.313080316,Versatile Forwards,Courtney Lee,G,4.7,1.3,2.3,,,,,,,,,
319,-0.047374206,-0.518231294,Versatile Forwards,Kawhi Leonard,F,26.6,3.3,7.3,,,,,,,,,
326,0.178780757,2.260057599,Versatile Forwards,Shaun Livingston,G,4,1.8,1.8,,,,,,,,,
332,-0.221930139,0.848190197,Versatile Forwards,Jordan Loyd,G,2.4,0.5,0.8,,,,,,,,,
335,0.444993726,0.517136477,Versatile Forwards,Tyler Lydon,F,0.9,0.2,0.7,,,,,,,,,
336,0.262922868,-0.316478805,Versatile Forwards,Trey Lyles,F,8.7,1.4,3.9,,,,,,,,,
358,-0.233069651,0.030604621,Versatile Forwards,Jodie Meeks,G,6.4,1,1.5,,,,,,,,,
361,0.023739121,0.779808796,Versatile Forwards,Chimezie Metu,F,1.8,0.4,1.2,,,,,,,,,
393,0.100075217,-0.151218593,Versatile Forwards,Georges Niang,F,4,0.6,1.5,,,,,,,,,
400,-0.00974442,-0.557172826,Versatile Forwards,David Nwaba,G,6.5,1.1,3.2,,,,,,,,,
426,0.372149596,0.578764105,Versatile Forwards,Quincy Pondexter,F,1.8,0.5,0.9,,,,,,,,,
472,0.931195687,-0.040499806,Versatile Forwards,Pascal Siakam,F,16.9,3.1,6.9,,,,,,,,,
490,-0.449509875,0.154030545,Versatile Forwards,Lance Stephenson,G,7.2,2.1,3.2,,,,,,,,,
505,-0.708128252,-0.02166245,Versatile Forwards,Sindarius Thornwell,G,1,0.3,0.7,,,,,,,,,
511,0.001569176,1.574696683,Versatile Forwards,Evan Turner,GF,6.8,3.9,4.5,,,,,,,,,
521,0.052557808,-0.350717727,Versatile Forwards,Moritz Wagner,C,4.8,0.6,2,,,,,,,,,
525,-0.792866715,0.079058914,Versatile Forwards,Tyrone Wallace,G,3.5,0.7,1.6,,,,,,,,,
533,-0.761822353,0.944580123,Versatile Forwards,Derrick White,G,9.9,3.9,3.7,,,,,,,,,
