,X1,X2,labels,Name,Position,PPG,APG,RPG,,,,,,,,,
463,-0.096673726,-1.489554086,3-D Players,Mike Scott,F,7.8,0.8,3.8,,,,,,,,,
464,0.702227617,-1.199805381,3-D Players,Thabo Sefolosha,F,3.8,0.5,2.5,,,,,,,,,
482,1.235484039,-1.278823002,3-D Players,Jason Smith,FC,2.2,0.2,1.8,,,,,,,,,
487,0.747821651,-0.807229951,3-D Players,Omari Spellman,F,5.9,1,4.2,,,,,,,,,
492,1.24668157,-1.509953779,3-D Players,Caleb Swanigan,F,1.9,0.4,2.9,,,,,,,,,
493,0.020331769,-1.111921885,3-D Players,Jayson Tatum,F,15.7,2.1,6,,,,,,,,,
506,0.466796913,-0.916189133,3-D Players,Anthony Tolliver,F,5,0.7,2.7,,,,,,,,,
510,0.164921583,-2.352873769,3-D Players,PJ Tucker,F,7.3,1.2,5.8,,,,,,,,,
6,-1.639579394,3.512335193,Combo Guards,DeVaughn AkoonPurcell,GF,1,0.9,0.6,,,,,,,,,
11,-1.843315897,1.403214642,Combo Guards,Kadeem Allen,G,9.9,4,2.7,,,,,,,,,
23,-2.002526422,1.326224148,Combo Guards,D.J. Augustin,G,11.7,5.3,2.5,,,,,,,,,
31,-2.505132556,3.783568454,Combo Guards,J.J. Barea,G,10.9,5.6,2.5,,,,,,,,,
37,-2.445265156,1.171515943,Combo Guards,Jerryd Bayless,G,6.1,3.5,1.9,,,,,,,,,
54,-1.348400672,1.195598465,Combo Guards,Eric Bledsoe,G,15.9,5.5,4.6,,,,,,,,,
61,-2.464915468,1.908334579,Combo Guards,Devin Booker,G,26.6,6.8,4.1,,,,,,,,,
79,-1.95823971,1.032234198,Combo Guards,Jalen Brunson,G,9.3,3.2,2.3,,,,,,,,,
83,-2.547051158,0.982861862,Combo Guards,Trey Burke,G,11.8,2.8,1.8,,,,,,,,,
84,-2.035389392,1.559820804,Combo Guards,Trey Burke,G,9.7,2.6,1.5,,,,,,,,,
92,-1.456326531,1.463038297,Combo Guards,Jose Calderon,G,2.4,2.4,1.3,,,,,,,,,
95,-2.441998812,1.888675508,Combo Guards,Isaiah Canaan,G,4.7,2.7,0.7,,,,,,,,,
101,-1.828156827,1.497935446,Combo Guards,Michael CarterWilliams,G,4.3,1.3,0.8,,,,,,,,,
111,-1.958628699,1.26449491,Combo Guards,Chris Chiozza,G,0.9,0.6,0.6,,,,,,,,,
119,-2.3155881,1.367539668,Combo Guards,Darren Collison,G,11.2,6,3,,,,,,,,,
121,-2.600333295,1.700760479,Combo Guards,Mike Conley,G,21.1,6.4,3.4,,,,,,,,,
129,-1.953629448,1.643889073,Combo Guards,Jamal Crawford,G,7.9,3.6,1.3,,,,,,,,,
141,-2.051132508,2.896175896,Combo Guards,Matthew Dellavedova,G,1.7,2.4,0.8,,,,,,,,,
142,-2.078267236,2.115337422,Combo Guards,Matthew Dellavedova,G,7.3,4.2,1.9,,,,,,,,,
144,-0.724964483,2.393662431,Combo Guards,DeMar DeRozan,G,21.2,6.2,6,,,,,,,,,
149,-2.139470563,1.332094252,Combo Guards,Spencer Dinwiddie,G,16.8,4.6,2.4,,,,,,,,,
156,-2.016984039,1.146667561,Combo Guards,Goran Dragic,G,13.7,4.8,3.1,,,,,,,,,
159,-2.259882561,1.129765946,Combo Guards,Kris Dunn,G,11.3,6,4.1,,,,,,,,,
169,-1.628668971,1.390243579,Combo Guards,Jawun Evans,G,0.9,1.4,1.7,,,,,,,,,
171,-1.850124044,1.58248858,Combo Guards,Dante Exum,G,6.9,2.6,1.6,,,,,,,,,
182,-2.691719142,2.094199415,Combo Guards,De'Aaron Fox,G,17.3,7.3,3.8,,,,,,,,,
184,-1.151622941,1.819440834,Combo Guards,Tim Frazier,G,5,4.4,2.9,,,,,,,,,
185,-1.338170644,1.389888576,Combo Guards,Tim Frazier,G,6.3,3.5,2.6,,,,,,,,,
200,-3.301324782,2.761616904,Combo Guards,Brandon Goodwin,G,1.4,0.9,0.2,,,,,,,,,
204,-2.541545916,1.246061171,Combo Guards,Devonte' Graham,G,4.7,2.6,1.4,,,,,,,,,
207,-1.771135386,1.084181413,Combo Guards,Jerian Grant,G,4.2,2.6,1.7,,,,,,,,,
218,-1.539486107,1.522243567,Combo Guards,James Harden,G,36.1,7.5,6.6,,,,,,,,,
225,-2.033611014,1.135233709,Combo Guards,Andrew Harrison,G,1.5,1.2,0.8,,,,,,,,,
242,-1.731361035,1.849125911,Combo Guards,Jrue Holiday,G,21.2,7.7,5,,,,,,,,,
259,-1.875525166,1.827030117,Combo Guards,Kyrie Irving,G,23.8,6.9,5,,,,,,,,,
263,-1.303694412,1.581533609,Combo Guards,Demetrius Jackson,G,3.7,0.8,0.5,,,,,,,,,
269,-0.267691126,2.545127446,Combo Guards,LeBron James,F,27.4,8.3,8.4,,,,,,,,,
288,-3.186512316,1.413924835,Combo Guards,Tyus Jones,G,6.9,4.8,2,,,,,,,,,
323,-2.013245237,1.411668543,Combo Guards,Damian Lillard,G,25.8,6.9,4.6,,,,,,,,,
324,-1.352909741,1.708953019,Combo Guards,Jeremy Lin,G,10.7,3.5,2.3,,,,,,,,,
331,-1.881501364,1.785688874,Combo Guards,Kyle Lowry,G,14.2,8.7,4.8,,,,,,,,,
346,-1.923721512,2.126553837,Combo Guards,Frank Mason,G,5.1,2.2,1.2,,,,,,,,,
351,-1.493498642,1.458783729,Combo Guards,T.J. McConnell,G,6.4,3.4,2.3,,,,,,,,,
373,-2.313243093,1.308244117,Combo Guards,Naz MitrouLong,G,1.1,1.1,0.4,,,,,,,,,
382,-1.80152484,1.039021909,Combo Guards,Emmanuel Mudiay,G,14.8,3.9,3.3,,,,,,,,,
390,-1.828020494,1.052885938,Combo Guards,Shabazz Napier,G,9.4,2.6,1.8,,,,,,,,,
